feature,coefficient,abs_coefficient,train_n_positive,direction
vit_heartrate_h21,-0.008873954,0.008873954,,decreases risk
vit_sao2_max_h10,-0.008626453,0.008626453,,decreases risk
vit_sao2_min_h6,-0.008545749,0.008545749,,decreases risk
lab_Hct_b2,-0.008375723,0.008375723,,decreases risk
vit_systemicsystolic_h8,0.008348125,0.008348125,,increases risk
vit_respiration_max_h3,-0.008197553,0.008197553,,decreases risk
vit_heartrate_h14,0.0080635,0.0080635,,increases risk
vit_temperature_h11,0.008052285,0.008052285,,increases risk
lab_lactate_b1,-0.007970123,0.007970123,,decreases risk
vit_sao2_max_h15,-0.007934996,0.007934996,,decreases risk
vit_respiration_h5,0.007828949,0.007828949,,increases risk
vit_heartrate_min_h7,0.007545769,0.007545769,,increases risk
vit_temperature_h10,-0.0074967225,0.0074967225,,decreases risk
vit_systemicmean_h3,0.007423745,0.007423745,,increases risk
vit_sao2_h1,0.0074225524,0.0074225524,,increases risk
vit_temperature_h9,-0.007271333,0.007271333,,decreases risk
lab_-bands_b0,-0.0072111236,0.0072111236,,decreases risk
vit_systemicdiastolic_h19,-0.0071410784,0.0071410784,,decreases risk
vit_sao2_min_h17,0.0071116225,0.0071116225,,increases risk
vit_sao2_h20,0.007056521,0.007056521,,increases risk
vit_respiration_max_h21,-0.00688202,0.00688202,,decreases risk
vit_sao2_max_h17,0.0068769893,0.0068769893,,increases risk
vit_sao2_min_h21,-0.006843298,0.006843298,,decreases risk
vit_systemicmean_h1,0.0067494796,0.0067494796,,increases risk
vit_sao2_min_h18,0.006737489,0.006737489,,increases risk
vit_respiration_h18,-0.0066484753,0.0066484753,,decreases risk
vit_sao2_min_h13,-0.0066193775,0.0066193775,,decreases risk
vit_systemicdiastolic_h6,0.006606522,0.006606522,,increases risk
vit_heartrate_max_h21,-0.0065667927,0.0065667927,,decreases risk
vit_respiration_min_h20,-0.006493671,0.006493671,,decreases risk
vit_sao2_max_h12,0.0064116693,0.0064116693,,increases risk
vit_sao2_max_h19,-0.0063173687,0.0063173687,,decreases risk
lab_PTT_b1,0.00623872,0.00623872,,increases risk
unittype_Med-Surg ICU,-0.006204229,0.006204229,33988.0,decreases risk
vit_heartrate_min_h6,0.0061198,0.0061198,,increases risk
vit_respiration_min_h18,0.0061012814,0.0061012814,,increases risk
vit_respiration_min_h2,0.0060239946,0.0060239946,,increases risk
vit_heartrate_max_h19,-0.0058943937,0.0058943937,,decreases risk
vit_sao2_max_h14,-0.005862697,0.005862697,,decreases risk
vit_respiration_max_h15,0.0056234417,0.0056234417,,increases risk
vit_respiration_h22,-0.005614976,0.005614976,,decreases risk
vit_temperature_h13,-0.005354338,0.005354338,,decreases risk
vit_heartrate_max_h1,0.0052523413,0.0052523413,,increases risk
vit_respiration_min_h1,0.0052140495,0.0052140495,,increases risk
vit_respiration_min_h4,0.005183966,0.005183966,,increases risk
vit_heartrate_max_h8,-0.005104009,0.005104009,,decreases risk
vit_temperature_h0,-0.005069908,0.005069908,,decreases risk
vit_respiration_h17,0.005060207,0.005060207,,increases risk
vit_sao2_h6,-0.0049243765,0.0049243765,,decreases risk
vit_respiration_h10,-0.004853928,0.004853928,,decreases risk
vit_systemicdiastolic_h0,-0.004839383,0.004839383,,decreases risk
vit_respiration_h0,-0.004756115,0.004756115,,decreases risk
lab_PTT_b2,0.0046388754,0.0046388754,,increases risk
vit_systemicmean_h18,0.0046315263,0.0046315263,,increases risk
vit_heartrate_min_h16,0.00456869,0.00456869,,increases risk
vit_sao2_max_h9,0.0044874647,0.0044874647,,increases risk
vit_respiration_max_h5,-0.004403817,0.004403817,,decreases risk
vit_systemicsystolic_h2,0.0043095844,0.0043095844,,increases risk
vit_heartrate_min_h11,-0.0042517423,0.0042517423,,decreases risk
vit_heartrate_h10,0.0041076643,0.0041076643,,increases risk
lab_glucose_b1,0.00396146,0.00396146,,increases risk
vit_heartrate_h19,0.0038472547,0.0038472547,,increases risk
vit_respiration_max_h17,-0.00380673,0.00380673,,decreases risk
vit_systemicdiastolic_h17,0.0038029633,0.0038029633,,increases risk
lab_platelets x 1000_b0,0.0036831468,0.0036831468,,increases risk
vit_sao2_min_h11,-0.0036717504,0.0036717504,,decreases risk
vit_heartrate_max_h3,0.003656164,0.003656164,,increases risk
vit_heartrate_max_h22,-0.003651194,0.003651194,,decreases risk
vit_systemicdiastolic_h2,0.0035889896,0.0035889896,,increases risk
vit_systemicsystolic_h3,-0.0035565612,0.0035565612,,decreases risk
vit_systemicsystolic_h20,0.00307821,0.00307821,,increases risk
vit_temperature_h17,-0.0030708944,0.0030708944,,decreases risk
vit_systemicdiastolic_h11,-0.00301142,0.00301142,,decreases risk
vit_systemicmean_h2,0.0029038843,0.0029038843,,increases risk
vit_respiration_max_h4,0.002890515,0.002890515,,increases risk
unittype_CCU-CTICU,-0.0027560533,0.0027560533,6903.0,decreases risk
vit_systemicsystolic_h15,0.0027493527,0.0027493527,,increases risk
vit_sao2_max_h2,0.0027298061,0.0027298061,,increases risk
vit_systemicmean_h23,-0.0026917292,0.0026917292,,decreases risk
vit_sao2_h4,-0.0025905997,0.0025905997,,decreases risk
vit_sao2_min_h8,-0.002585491,0.002585491,,decreases risk
vit_systemicmean_h7,0.002558373,0.002558373,,increases risk
vit_respiration_h8,-0.0025508124,0.0025508124,,decreases risk
vit_temperature_h1,-0.002451327,0.002451327,,decreases risk
vit_respiration_max_h2,-0.0023512987,0.0023512987,,decreases risk
vit_sao2_min_h20,-0.0023428265,0.0023428265,,decreases risk
vit_temperature_h8,0.0023079365,0.0023079365,,increases risk
vit_heartrate_max_h15,-0.002274983,0.002274983,,decreases risk
unittype_CTICU,-0.0021700843,0.0021700843,2748.0,decreases risk
vit_temperature_h12,-0.0021508024,0.0021508024,,decreases risk
vit_sao2_min_h16,-0.0021453707,0.0021453707,,decreases risk
vit_sao2_min_h14,-0.0020840277,0.0020840277,,decreases risk
lab_WBC x 1000_b1,0.002074279,0.002074279,,increases risk
vit_sao2_min_h22,-0.0020364518,0.0020364518,,decreases risk
vit_respiration_h15,-0.0020363599,0.0020363599,,decreases risk
